,SEAT_COUNT,BOARD_TYPE,SCREEN_SIZE,INPUTS,TECH_TYPE,CLASSROOM_TYPE,COMPUTER_LAB,CPT,LAST_REFRESH,CAMERA_TYPE,PODIUM_TYPE,COMPUTER,CAMERA_MIC,DISPLAY_TYPE,DISLAY_COUNT,EQUIP_LOC,ADDITIONAL_ROOM_SPECS,LCR_COST,ROOM_ID,ROOM_NAME,BUILDING_NAME
167,None,Whiteboard - Small,None,None,None,Conference Room,None,I , ,None,None,None,None,None,0,None,Windows,5000,5005,DC273A,DeVos
168,50,None,None,HDMI,Conferencing/Capture,Conference Room,None,III,2022,PTZ,None,None,None,Flat Screen,1,None,None,20000,5006,DC108,DeVos
169,None,None,None,None,None,Conference Room,None,I,None,None,None,None,False,None,0,None,None,5000,5007,DH013A,DeVries Hall
170,32,Whiteboard - Large,None,"HDMI, Wireless Projection",Single Display,Classroom/Lab,None,II,2024,None,None,None,False,Data Projector,1,None,None,14000,5008,DH023,DeVries Hall
171,None,None,None,"HDMI, Wireless Projection",Dual Display,Custom Classroom/Lab,None,III,2024,PTZ,None,None,False,Flat Screen,7,None,None,30000,5009,DH058 (Cadaver Lab),DeVries Hall
172,None,Whiteboard - Small,6-foot,None,Single Display,Conference Room,None,I,2010,None,None,PC,False,Data Projector,1,None,Windows,5000,5010,DH115,DeVries Hall
173,None,None,None,None,Single Display,Custom Classroom/Lab,None,II,None,None,None,None,None,None,0,None,None,None,5011,CP201,Chapel
174,None,Whiteboard - Large,6-foot,None,None,Classroom/Lab,None,I, ,None,None, ,False,None,0,None,None,20000,5012,HH211,Hiemenga Hall
175,None,"Whiteboard - Large, Chalkboard - Large",6-foot,VGA,Single Display,Classroom/Lab,None,II,2008,None,Basic,PC,False,Data Projector,1,None,Printer,20000,5013,HH213,Hiemenga Hall
176,None,Chalkboard - Small,6-foot,VGA,Single Display,Conference Room,None,II,2012,None,None, ,False,Data Projector,1,None,None,5000,5014,HH314,Hiemenga Hall
177,None,Whiteboard - Large,None,HDMI,Teams Enabled,Conference Room,None,II,2020,None,None,None,False,Data Projector,1,None,Windows,10000,5015,HH318,Hiemenga Hall
178,38,"Chalkboard - Large, Tack Board",7-foot,"HDMI, Audio - Line, Audio - Mic",Single Display,Classroom/Lab,None,II,2017,Document,Smart,PC,False,Data Projector,1,None,Windows,20000,5016,HH331,Hiemenga Hall
179,None,Chalkboard - Large,6-foot,None,None,Conference Room,None,I, ,None,None, ,False,None,0,None,Windows,5000,5017,HH339,Hiemenga Hall
180,None,None,None,None,None,Conference Room,None,I, ,None,None,None,False,None,0,None,Windows,5000,5018,HH402,Hiemenga Hall
181,None,"Chalkboard - Small, Whiteboard - Small",6-foot,VGA,Single Display,Conference Room,None,I,2012,None,None,PC,False,Data Projector,1,None,None,5000,5019,HH421,Hiemenga Hall
182,None,None,None,None,Single Display,Conference Room,None,I,2023,None,None,None,False,None,0,None,Windows,5000,5020,HH439,Hiemenga Hall
183,14,Chalkboard - Small,6-foot,None,None,Conference Room,None,I, ,None,None, ,False,None,0,None,Windows,5000,5021,HH468,Hiemenga Hall
184,None,Whiteboard - Large,None,Audio - Line,None,Classroom/Lab,None,None,2012,None,None,None,False,None,0,None,None,20000,5022,HC121 (Spin),Hoogenboom Center
185,None,Whiteboard - Small,None,HDMI,Single Display,Conference Room,None,I,2021,None,None,None,False,Flat Screen,1,None,None,5000,5023,HC127,Hoogenboom Center
